Form,M/F,B/D,House,Room/Bed,Rm Type,1,2,3,4,5,6,
4,F,B,BERNHS,110A,Single,CHAPHS,MCCOOK,ARCH,BERNHS,WWING,LBRY,
4,F,B,ARCH,307A,Double,ARCH,HALL,LBRY,WWING,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,129A,Double,ARCH,BERNHS,HALL,MCCOOK,WWING,CHAPHS,LBRY
4,F,B,BERNHS,123A,Double,LBRY,WWING,HALL,ARCH,BERNHS,CHAPHS,MCCOOK
4,F,D,DAY,,Double,LBRY,HALL,WWING,ARCH,CHAPHS,BERNHS,MCCOOK
4,F,B,ARCH,310A,Double,BERNHS,ARCH,HALL,WWING,LBRY,CHAPHS,MCCOOK
4,F,B,BERNHS,125A,Double,LBRY,HALL,WWING,ARCH,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,229A,Single,LBRY,WWING,BERNHS,ARCH,MCCOOK,CHAPHS,
4,F,B,HALL,207B,,,,,,,,
4,F,B,MCCOOK,107A,Double,LBRY,HALL,WWING,ARCH,MCCOOK,BERNHS,CHAPHS
4,F,B,HALL,306A,Double,LBRY,WWING,HALL,ARCH,MCCOOK,BERNHS,CHAPHS
4,F,B,BERNHS,112A,,,,,,,,
4,F,B,ARCH,308A,Double,ARCH,HALL,LBRY,WWING,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,127A,Single,WWING,LBRY,CHAPHS,ARCH,,,
4,F,B,BERNHS,206A,Single,ARCH,BERNHS,LBRY,WWING,MCCOOK,CHAPHS,
4,F,B,BERNHS,206A,Double,ARCH,MCCOOK,WWING,HALL,LBRY,BERNHS,CHAPHS
4,F,B,BERNHS,128A,Double,BERNHS,ARCH,HALL,WWING,LBRY,CHAPHS,MCCOOK
4,F,B,BERNHS,106A,Single,LBRY,WWING,ARCH,MCCOOK,BERNHS,CHAPHS,
4,F,B,SPAIN,006A,Triple,HALL,WWING,,,,,
4,F,B,BERNHS,226B,,,,,,,,
4,F,B,MCCOOK,200A,Double,MCCOOK,ARCH,CHAPHS,HALL,BERNHS,WWING,LBRY
4,F,B,MCCOOK,203A,Single,MCCOOK,ARCH,WWING,BERNHS,LBRY,CHAPHS,
4,F,B,MCCOOK,208A,Double,LBRY,WWING,HALL,MCCOOK,ARCH,CHAPHS,BERNHS
4,F,B,ARCH,210B,Double,ARCH,MCCOOK,BERNHS,HALL,WWING,CHAPHS,LBRY
4,F,B,BERNHS,106B,Double,LBRY,HALL,WWING,ARCH,BERNHS,CHAPHS,MCCOOK
4,F,B,BERNHS,228A,Single,MCCOOK,ARCH,WWING,LBRY,BERNHS,CHAPHS,
4,F,B,MCCOOK,100A,Double,LBRY,WWING,HALL,ARCH,BERNHS,CHAPHS,MCCOOK
4,F,B,HALL,306B,Double,LBRY,WWING,HALL,ARCH,MCCOOK,BERNHS,CHAPHS
4,F,B,BERNHS,227A,Double,LBRY,WWING,HALL,ARCH,BERNHS,CHAPHS,MCCOOK
